        x         y   Spec Type
    9.851     -3.32         t9v
   -0.254     16.32         m6v
     9.86     4.468         m6v
   21.024    11.565         m2v
    3.831    -6.929         t9v
   12.621    -9.573         m6v
  -19.408     2.534         k3v
   11.199     6.715         g0v
    3.742    -2.181         l6v
   -3.086    -1.549         t9v
   -1.072   -15.485         t9v
   -3.511     -0.28         m7v
    1.899     4.149         m6v
   -6.387     0.667         t7v
   15.455    -3.818         l6v
   -1.345   -17.645         t9v
    7.665     7.779         t9v
   -9.841    -5.692         m7v
    -4.76     -6.45         m8v
    31.17       2.7         t9v
   -6.269    25.786         l7v
    5.894    11.209         l2v
    6.006   -12.434         l5v
    8.564     7.521         m7v
    -7.43    -1.834         l5v
     4.14     7.044         m6v
  -14.495   -14.272         m6v
   -2.989   -19.033         t9v
    0.652    -5.149         t7v
    1.798     9.448         m7v
   -5.431    -12.83         m4v
   22.127     2.404         t9v
    1.785    -6.811         l4v
   12.766      1.59         m7v
    4.847     8.934         m6v
    1.257     0.055         f3v
  -11.724   -10.146         g3v
    2.383      3.51         m6v
    5.778     3.321         l6v
    4.036     7.479         g9v
    4.944    -2.391         b0v
  -14.554     8.669         t9v
  -19.743    -8.564         m6v
   -1.523   -19.136         t5v
   -2.879    -4.468         l1v
    6.906    -4.247         k6v
   -9.336   -16.305         m6v
     -5.7    10.978         m7v
    2.538   -13.452         f4v
   12.966   -16.956         t9v
   -1.145    10.828         m7v
  -20.227     8.135         m6v
   -4.086     -4.71         l5v
   -2.841     2.479         t9v
  -14.824     -4.13         t7v
   -2.536    16.855         m6v
  -16.771    -1.032         m6v
   -16.29    -0.567         l0v
   10.812     2.544         t9v
    10.92    -1.927         t9v
   -1.709     5.487         l2v
     9.83    -2.365         t9v
   12.592     -8.07         t9v
   -7.812     7.907         m6v
   12.372     0.941         l3v
    2.507    23.402         m6v
    7.977   -13.313         m6v
    5.983    14.168         m7v
    2.354     1.997         m4v
    1.968   -11.854         t9v
  -15.833    -3.691         t9v
  -19.082     7.623         m4v
   -3.393    -6.478         m3v
    0.373   -13.748         m5v
   -1.385    10.608         l4v
   15.563    -7.258         m6v
   17.327    -8.004         g1v
   -3.985    -3.886         m6v
   -3.164     -1.26         t9v
     0.16    13.514         l1v
  -23.907    -30.13         m7v
   -1.505    -4.641         m6v
    5.252    -1.753         m0v
  -14.805    -6.836         t9v
   -8.373   -10.029         t9v
   -7.342    -5.122         m7v
    4.004     0.634         t9v
   -6.499   -23.584         m7v
   -2.969    -7.037         t9v
   -8.969    -9.765         m6v
    4.894     10.91         l1v
   -2.544    -2.675         m6v
    1.856    12.307         m4v
    10.85    17.722         g9v
   -7.894   -10.314         t9v
  -16.464   -13.231         m6v
    13.78    -6.046         t9v
    8.532    -4.459         l6v
    3.377    -2.481         t9v
    5.348   -20.043         f2v
    2.669    12.542         m6v
   12.271     7.371         m7v
   -3.306    -1.743         m0v
  -13.383     1.786         l2v
   -4.835    28.166         m6v
  -13.136     5.987         m6v
  -18.753    10.465         m7v
   -0.186    15.852         m9v
  -31.278     9.338         m6v
  -16.432     0.852         a5v
   -3.211     7.266         m6v
   -4.313    -6.365         a5v
   -0.296     5.631         k5v
    1.012    -1.633         l2v
    1.938    -4.936         m4v
   -10.01   -20.967         m7v
    -4.09     9.865         m6v
  -14.806    -3.151         m6v
   -4.639    13.511         m7v
   -9.865    -10.42         l0v
   -23.39     0.884         t9v
  -16.696      2.56         m3v
   -7.919     -5.91         g4v
  -17.906    14.695         m7v
   -4.449     9.168         t9v
   10.495   -13.497         l7v
    0.055   -17.864         l5v
    4.613    -6.583         m7v
   -0.142     0.791         m5v
    1.457    19.219         m7v
    3.219    -8.342         m6v
   11.021     7.974         l8v
   18.362    -15.06         m9v
   -1.629     0.949         m0v
    9.321     2.721         m6v
     8.55    -7.321         m0v
   -13.47    -7.809         k9v
   11.973   -11.154         t9v
   -1.651    -9.145         m7v
   -10.55    -2.904         m6v
    -1.25    -5.697         m6v
    5.706     9.554         g5v
    3.305    -4.154         m6v
   -8.163    -9.945         m6v
   -11.02    -0.013         m4v
   -9.292     0.572         m7v
    3.713     7.135         l0v
   -5.361   -13.013         k9v
  -11.923    -6.962         m6v
   -8.607     17.96         t9v
   16.548    22.436         l3v
  -13.904   -10.335         m6v
   -9.105     9.519         m7v
   -5.687     1.882         l4v
     5.67     2.106         m3v
    4.396    -6.504         l0v
   -8.746    -2.707         m7v
    2.208     -4.63         t9v
   -6.356     1.824         l1v
   -3.955     2.873         t9v
    2.495    17.317         m4v
   -0.079    -1.136         m6v
   -28.03    19.104         l5v
    1.957     -1.87         m7v
    3.535     9.694         k8v
  -15.763    11.859         m5v
   17.504     1.141         g4v
  -21.309    28.213         g7v
    0.424     9.143         m5v
    5.704     3.311         m9v
    7.219    -1.588         m3v
   -6.817    -1.657         t9v
   -6.751     14.52         k2v
   -0.723    -0.696         m5v
   17.896    -3.741         t9v
    1.866    -1.948         m7v
   -2.264    -8.486         t9v
   -0.896     4.319         m1v
   -4.485    11.763         t9v
    13.78     -5.55         m1v
    7.453    21.583         m6v
   -1.479     0.612         t9v
   -4.404     1.581         m7v
   -1.089    10.149         t2v
    3.544     8.371         l7v
   13.611    -7.003         m6v
   14.682   -15.404         t9v
   -3.101    -9.505         m6v
  -14.791    -4.581         t9v
    7.754   -15.722         l1v
  -14.744   -17.192         m6v
  -10.513    -5.727         g3v
    5.881   -20.091         m6v
    5.341    15.734         l1v
  -12.503    -6.118         m6v
   -6.836   -24.338         m6v
    1.511    -0.281         m4v
   -2.166    -7.464         m6v
   -9.702    -5.838         m1v
    6.801    20.597         m6v
     6.95     0.249         l2v
    3.765    -7.255         a8v
   -14.28    10.169         m8v
    13.01    -21.94         m6v
     9.81    -6.744         k9v
    -6.42     2.565         t9v
   -2.941     7.715         t9v
   -1.274    -0.775         m6v
   -0.521     4.563         m3v
   -0.875   -14.577         t9v
   12.589   -15.073         m7v
    3.844   -12.756         l0v
   -2.391    11.402         m7v
   10.431    20.233         m6v
   16.107     6.587         m6v
   -1.923    -4.987         t9v
   -8.661     0.039         t2v
    -3.27    -3.615         m9v
   16.164    17.978         t6v
     2.48    -1.345         m2v
    2.202    -5.485         l2v
    7.666   -17.177         b8v
   12.548   -21.426         l0v
    0.429     7.669         m6v
   27.147    -2.961         g1v
   -2.427    -8.085         m7v
  -10.062   -12.098         m0v
   -17.05    -5.194         m6v
    6.059     8.562         g9v
    8.014    17.955         t9v
   -8.912    -1.134         m6v
    6.157     6.915         m6v
   12.298     3.894         m6v
   -3.447     9.889         t9v
   13.649   -10.391         m6v
   12.381     7.554         m5v
    0.301    20.804         m5v
    3.479     4.038         m1v
   -9.287   -19.556         m6v
    10.15    16.037         g0v
   -0.231    13.256         t2v
    15.95    16.759         m6v
    9.755    -5.034         m6v
    1.483   -22.301         l3v
    -2.97    20.968         l4v
    2.541     9.751         m1v
    7.822     8.585         t9v
   -8.092    -9.282         f6v
    7.205      2.43         m4v
    7.627    11.874         t9v
  -18.548   -16.188         b9v
   -1.103     3.609         t9v
   -0.302    -0.871         k3v
  -10.642   -19.225         m0v
    1.816   -16.678         a7v
    9.576    -7.425         m6v
   11.186     7.052         m6v
   -7.476     1.226         m6v
   -9.075     4.867         m7v
   13.314    12.117         l6v
   -4.122    -4.782         m8v
    -3.88    -6.547         m7v
    2.246    -1.657         m4v
    8.664   -12.297         m6v
   12.303     -8.05         m3v
    0.064    -0.205         m6v
    8.515     2.303         m6v
   15.321    -9.721         m2v
  -13.084   -16.042         t9v
     6.42   -13.875         t9v
    1.903     6.975         k9v
    4.026      4.36         m6v
   -6.355     2.885         m6v
    0.512     0.834         m7v
    3.093     1.922         t9v
    9.757    -6.848         t9v
   -6.864   -10.775         t9v
   16.224     7.099         k9v
  -24.723      1.68         m9v
   -5.297    -1.872         m9v
   12.862     1.184         m6v
  -16.071    13.566         m6v
   12.752   -12.762         t9v
    -9.16    14.696         k4v
   -4.746     8.499         f9v
    10.24   -25.045         m7v
    8.158    -0.809         m6v
    7.805    15.253         k4v
    1.538    -7.523         m6v
    9.469    -6.273         m7v
    5.013    11.369         t9v
    3.851    -0.394         m9v
   -0.747    -3.293         m8v
     9.43     9.622         a9v
  -10.987     3.693         m6v
   -3.421    -0.508         m6v
  -15.942     2.266         m6v
   -3.603     8.375         m6v
    9.737     7.146         t9v
    6.858    17.162         b2v
   -5.107     9.508         m6v
   -6.406     8.281         t5v
   -5.622    11.418         m6v
   -8.171    21.537         f0v
    -6.77    -10.93         m5v
  -16.581     1.199         m8v
    1.167     -3.75         m7v
    4.107   -15.472         t9v
  -13.637     2.699         m7v
    9.364     9.911         t9v
   -1.591     6.016         m7v
  -12.067      17.1         m6v
   -2.623    -4.333         m6v
   -3.048     0.752         t9v
   -8.914    -5.254         m5v
   -8.062    -1.314         m6v
   -3.172    12.468         t9v
  -15.813     0.136         m6v
  -13.197     4.855         g9v
   -3.968     6.783         l0v
   -3.497     6.176         k4v
   -5.119    -9.876         m7v
   -0.084     2.445         m7v
    7.643    10.226         m1v
   26.318     1.993         m6v
    9.984     8.843         k6v
   -3.943     6.373         m7v
   12.295     0.137         m7v
   -2.537    -14.63         l7v
    8.079       5.0         m9v
    6.077   -11.372         m0v
     0.99     4.935         t9v
    4.918     2.417         m6v
   -7.763     8.451         m6v
    2.941    12.696         t9v
   -8.042     8.334         m5v
    -9.63    15.746         t9v
    3.585     4.118         m7v
   -6.017     5.697         m8v
   -1.652     3.217         b5v
    0.666     8.276         l7v
    4.202    14.456         m7v
    0.577     6.116         m7v
   -1.478    -6.696         m3v
    7.036   -11.147         t9v
   -3.323    -9.264         t9v
  -12.935     9.335         m6v
   -7.112    -4.041         g2v
   -4.579     -8.04         t9v
   -4.076   -13.124         l8v
  -10.087     3.272         t9v
    -3.75     8.243         t9v
  -23.227    -4.116         m6v
   -3.009   -16.317         m6v
   12.109     1.194         m6v
  -12.813    -5.661         k9v
    5.889    -5.358         m6v
   -7.635   -11.596         t9v
   -7.257     7.738         k4v
    0.662    -7.048         m6v
    7.154      9.09         m6v
  -20.856    -2.235         t9v
   -6.072    12.234         m6v
    0.508    -2.001         k9v
  -11.754    -7.743         m6v
   -12.09     4.277         f7v
   -2.251     1.979         m6v
    7.288     8.534         t9v
    2.283    -5.148         m7v
   -5.484   -12.016         t9v
    0.222   -12.608         m6v
     8.47    -6.827         l8v
   12.825     3.708         m7v
    7.493    -8.898         m6v
   -8.493     1.463         t9v
    -1.93       0.2         m6v
    0.001     4.342         l0v
    6.039     9.251         a2v
    -7.12    -7.348         t9v
   20.584    -4.195         k5v
   -7.401    16.524         l4v
   -2.011    -5.427         m6v
  -13.469    -6.016         f9v
  -12.574    17.014         m6v
   18.201    11.234         t9v
   -5.998     1.442         l6v
   -0.243      2.95         m6v
   -9.876   -16.795         t9v
   13.291    -7.731         g4v
   17.195     3.089         m6v
   -6.618     4.207         m6v
    9.601     0.335         l9v
    1.259     1.356         l3v
    0.714    -7.827         a4v
   -2.995     3.701         m8v
   -7.489    -8.661         l1v
    1.924    11.304         m6v
    0.106    -7.738         t9v
    6.109   -15.714         g7v
   -3.765     6.727         t9v
  -15.919    -8.315         t9v
   17.225    -2.066         m7v
    2.526    -7.258         m9v
    9.495   -10.007         m6v
  -18.303    25.181         m5v
    3.173     8.086         m6v
     1.95    10.064         m6v
   -0.736    -6.942         m6v
  -15.916     1.806         k1v
  -11.659    -7.378         m6v
   22.179      18.9         t6v
   -2.839    -9.535         k8v
   -6.199   -14.618         g0v
   11.477     5.301         t9v
  -27.308    -10.78         t9v
    6.758      0.74         m6v
  -19.102    25.799         m4v
    1.623   -16.407         m7v
   -1.634    -1.711         t9v
   -9.802     -6.81         b5v
    6.454     0.628         t9v
     7.87      1.74         m3v
    5.144    -2.329         m5v
   -3.886     3.434         t9v
   -8.065   -15.037         t9v
    5.534     6.648         t9v
  -11.924     3.425         t9v
   -7.038    -3.827         m6v
   -7.202    -0.596         m8v
  -10.744    11.649         m7v
    7.725      0.31         m7v
   15.984   -14.816         t9v
   -4.014    11.474         m5v
  -26.141     4.642         t9v
    3.038    29.643         m6v
    6.528    -8.967         m6v
   12.932     9.356         g1v
   -0.868    -2.729         t9v
    0.907    -10.32         m2v
   -1.321    18.822         m7v
   -4.504    -2.892         t7v
   10.971    -2.316         l1v
   13.429    -0.475         t9v
  -10.812    -8.777         m7v
  -11.422   -11.068         m6v
   -5.775   -20.936         k2v
   12.907     3.309         m5v
    -2.81   -11.531         k7v
    8.332     0.302         m0v
   -1.413     5.358         t9v
    6.141    -5.383         m7v
   11.362    20.242         l7v
   12.716     14.61         m6v
  -19.554    13.027         m7v
   10.742    10.561         m1v
   -0.018    -4.253         t9v
    -7.47     7.489         l6v
   -0.236     -2.16         m0v
   -2.436     8.885         m6v
   -17.92     -9.48         l5v
   -5.137    -7.563         m5v
   -7.389    -2.769         t9v
   13.284     0.362         m6v
  -12.651    -4.548         m3v
    0.862    -2.999         t9v
    8.167    16.739         m6v
    1.897     0.175         a1v
   -0.991   -17.776         m6v
   15.288     2.011         m7v
   -5.012    -7.065         m7v
    5.418     6.177         t9v
   -4.784      5.77         m6v
   10.408     3.526         m6v
   19.958     4.884         m2v
     -6.6    11.311         m4v
    3.365     5.667         t9v
    5.377    15.987         m8v
    5.923    -9.487         g4v
    4.229   -12.552         m6v
   17.527    -4.255         a5v
    3.557   -15.103         m7v
   -8.913    10.882         m7v
    0.215      8.37         m6v
   -1.992    -6.349         m6v
   -6.293    13.055         k4v
   -0.032    -0.665         m5v
   30.352    -7.657         m6v
    9.024    -1.025         t9v
   21.626     2.256         m6v
    2.067    14.053         m8v
   13.478    -7.781         t9v
  -22.369     4.072         t1v
    4.632    -6.817         m7v
  -10.497     -4.89         l2v
   -3.643    -2.175         m7v
    2.907    -9.808         f7v
   -7.461    -3.498         m7v
    9.436    -6.104         g0v
   -7.811   -19.682         m7v
   -7.208     9.053         a6v
  -10.685    -7.502         t9v
     1.98     9.694         m6v
   -1.978    -6.578         t9v
   -10.73    -3.198         m6v
   -1.439    -3.876         k4v
    5.471     2.731         m6v
   12.211     0.647         t3v
   -9.504     9.554         f5v
  -13.549     1.652         l6v
  -18.266     2.345         m6v
     4.59    -2.856         t9v
   14.512     2.005         t9v
    -8.78    -6.381         m7v
     -4.1    10.885         m7v
  -13.703    10.654         m5v
   -9.889     8.242         m6v
   17.459     0.359         m8v
    0.008     9.088         t9v
    4.744       4.3         m6v
   -6.201   -18.798         m6v
    6.005    -6.593         m6v
   -3.759    10.935         m9v
     2.99    -7.405         k0v
   -1.966    10.669         m6v
    5.564     4.933         m3v
   -9.868    -2.201         t5v
    6.007    -9.131         m9v
   -3.739     4.529         t4v
   -2.732    -5.844         m5v
  -10.313    -6.102         m7v
    4.475    -0.465         t9v
  -19.134     -8.58         l0v
    5.491   -24.997         l3v
   -2.384     5.185         m6v
   11.298    17.639         m7v
   14.379     2.839         m6v
  -11.227     8.822         m6v
     1.95   -20.315         m6v
    6.003     15.99         m6v
    3.542   -12.243         m7v
  -13.178     2.295         g3v
   -3.089   -23.803         t9v
    3.576    -5.835         k4v
    2.577    18.304         m6v
  -14.562     13.23         m6v
  -15.801     13.98         a6v
    3.992   -13.817         g8v
    0.299    -9.776         t9v
    5.371     8.697         l3v
  -13.578     9.198         m6v
    0.219    -4.376         m4v
  -15.569     5.839         k5v
    9.283     7.631         t9v
    3.506    -5.107         a8v
    0.458   -12.777         l3v
    8.785    -2.644         t9v
   -1.481    -3.753         m7v
   26.719   -14.845         m9v
  -13.256    -12.74         g5v
   -0.416      -9.2         m0v
   -2.871     0.535         l4v
    -4.22   -16.684         b2v
    1.188    -1.002         l2v
   12.162    11.545         t9v
    3.131      8.12         m6v
    8.831    -1.126         k0v
     2.91   -15.403         m6v
     5.66     3.539         m5v
   -4.611    -3.196         t0v
  -17.171    -8.827         m7v
    1.057     1.444         k9v
   -8.404   -17.662         t9v
    2.969    -3.774         t9v
   19.951    -21.19         m7v
    -2.17   -21.752         l2v
    6.048     4.791         t2v
   12.181    -2.027         m7v
   -2.513    11.643         m7v
  -10.104    -16.09         m7v
    3.819     4.412         l8v
    1.256     2.362         m6v
    9.916     4.781         m3v
  -10.202    -7.779         m8v
   -10.43     11.97         t2v
  -12.067    -5.564         m7v
   -3.699     5.468         m6v
   -1.624     -8.18         m7v
    0.795    10.349         t9v
     7.35     4.423         m6v
    2.474     16.13         t7v
   -0.093     4.183         m8v
    7.651     4.887         l1v
  -17.044    14.926         m6v
      3.4   -21.949         l8v
  -18.831    10.328         m6v
  -17.576     2.185         m6v
   11.569    -5.187         b5v
   -6.894   -10.671         m6v
   -1.319    11.385         t9v
  -10.757    -4.078         t9v
    4.351    26.657         k5v
   -1.119    15.405         m6v
    9.534   -15.088         k5v
    1.685     6.889         k1v
